	Text	Topic	TextSrcInre	Para_No	ADU_Type	labelValue	Features
6020	This argument may be true that people will be swayed by the advertising and buy things they do not need it for their life.	Advertising impact on people's choice of consumption	This argument may be true that people will be swayed by the advertising and buy things they do not need it for their life.	1.0	ADU	2	Elaboration , Introduction
1923	By drawing on the colossal energy of the sun, it could meet the entire world's electricity requirements indefinitely without nuclear or GHG emissions.	Can technology alone solve the world's environmental problems?	By drawing on the colossal energy of the sun, it could meet the entire world's electricity requirements indefinitely without nuclear or GHG emissions.	4.0	ADU	3	Prompt , Body
4577	For example, my roommate, Mary, always wakes up 6 in the morning and spends 1 hour doing sport in the park which is near our dormitory.	Spending equal amount of money on libraries and sports?	For example, my roommate, Mary, always wakes up 6 in the morning and spends 1 hour doing sport in the park which is near our dormitory.	2.0	ADU	3	Elaboration , Body
2586	After a while the situation became clear, but before that a lot of people had already condemned the actions of Russia.	Gossip-based information	After a while the situation became clear, but before that a lot of people had already condemned the actions of Russia.	2.0	ADU	3	Transition , Body
1624	This experience also makes them aware of what they would like to make of their life.	Taking a break before starting higher education is a good idea	This experience also makes them aware of what they would like to make of their life.	2.0	ADU	3	Elaboration , Body
5249	Even if I were not to win this medal, I acknowledged the great amount of my endeavor as I could keep my tired legs running.	Keep trying and never stop working for your goals	Even if I were not to win this medal, I acknowledged the great amount of my endeavor as I could keep my tired legs running.	2.0	ADU	3	Elaboration , Body
4962	In conclusion, experiences that shape my thinking and the way to live my life are teach me to be a better person.	Experiences that have shaped your outlook and the way you live	In conclusion, experiences that shape my thinking and the way to live my life are teach me to be a better person.	5.0	ADU	1	Transition , Body
6702	Personally, I believe such details should be strictly censored, if not banned altogether.	Detailed description of crimes on newspaper and TV can have bad consequences on society	Personally, I believe such details should be strictly censored, if not banned altogether.	1.0	ADU	1	Suggestion , Introduction
1286	However, I believe the booming economy can be closely linked to the preservation of the environment.	Economic development vs environment	However, I believe the booming economy can be closely linked to the preservation of the environment.	3.0	ADU	2	Rebuttal , Body
1766	Moreover, wild life is very essential to maintain ecological balance on planet Earth.	Human activities are harming the Earth	Moreover, wild life is very essential to maintain ecological balance on planet Earth.	2.0	ADU	3	Transition , Body
674	To sum up, students can learn outside the textbook and classroom with a real working experiences that can be a great opportunity for future job consideration whereas organizations earn much more as they can not only save time and money but also be enlightened by what young people have to say.	Benefits of students' unpaid work	To sum up, students can learn outside the textbook and classroom with a real working experiences that can be a great opportunity for future job consideration whereas organizations earn much more as they can not only save time and money but also be enlightened by what young people have to say.	4.0	ADU	1	Transition , Introduction
999	Thus, a break should be necessarily allowed to young minds between their high school and university studies.	Is a break good or bad after high school for students	Thus, a break should be necessarily allowed to young minds between their high school and university studies.	5.0	ADU	1	Suggestion , Conclusion
2209	Besides, in the past, conducting a research require long hours of searching in library shelves, now all can be done at a click of a button.	Teachers lesson vs other sources	Besides, in the past, conducting a research require long hours of searching in library shelves, now all can be done at a click of a button.	2.0	ADU	3	Transition , Body
3067	As the game kicks off, the atmosphere inside the stadium is even more exciting.	Live football game at a stadium	As the game kicks off, the atmosphere inside the stadium is even more exciting.	2.0	ADU	3	Prompt , Body
5811	"Young adults preference on how long they should live with their parents before moving out

As young people gets older they tend to seek more freedom and want to live on their own."	Young adults preference on how long they should live with their parents before moving out	"Young adults preference on how long they should live with their parents before moving out

As young people gets older they tend to seek more freedom and want to live on their own."	0.0	Non-ADU	0	Elaboration , Body
433	"Financial aid to develop countries

As is commonly understood, there is an increasingly gap between developed countries and developing countries."	Financial aid to develop countries	"Financial aid to develop countries

As is commonly understood, there is an increasingly gap between developed countries and developing countries."	0.0	Non-ADU	0	Transition , Introduction
1718	Have you ever imagined what it would be like to stay at home and attend a lecture by a famous speaker in Finland simultaneously?	The Internet is an adequate source of academic information	Have you ever imagined what it would be like to stay at home and attend a lecture by a famous speaker in Finland simultaneously?	3.0	ADU	3	Transition , Body
1202	In a nutshell, many activities can let humans relax.	The best way to relax is by exercises	In a nutshell, many activities can let humans relax.	4.0	ADU	2	Suggestion , Conclusion
1153	In the second place, the revolution in females' right has brought about many benefits not only to themselves but society as well.	Nowadays there are more opportunities for women than there were in the past	In the second place, the revolution in females' right has brought about many benefits not only to themselves but society as well.	3.0	ADU	2	Rebuttal , Body
45	"International tourism is now more common than ever before

The last 50 years have seen a significant increase in the number of tourist traveling worldwide."	International tourism is now more common than ever before	"International tourism is now more common than ever before

The last 50 years have seen a significant increase in the number of tourist traveling worldwide."	0.0	Non-ADU	0	Prompt , Introduction
1235	In addition, the preservations need a long time to gather, restore all information as well as train in the educational centre.	Several languages are in danger of extinction	In addition, the preservations need a long time to gather, restore all information as well as train in the educational centre.	3.0	ADU	3	Transition , Body
5112	Also, you could not find another place with so much talent people gathering together.	Professors should do more research or teach students?	Also, you could not find another place with so much talent people gathering together.	3.0	ADU	3	MainIdea , Body
5576	Rather than passively forcing drivers to pay another fee, government should instead, be more active on advocating the use of more efficient and environmental-friendly energy or planning out more reasonable and convenient layout that allow people to reach their destinations with less oil.	Drivers have to pay a fee for driving in Rush Hour	Rather than passively forcing drivers to pay another fee, government should instead, be more active on advocating the use of more efficient and environmental-friendly energy or planning out more reasonable and convenient layout that allow people to reach their destinations with less oil.	4.0	ADU	2	Transition , Body
4085	We will never have to worry if our mails will be sent to the right address.	E-mail or Voice mail Versus Telephone or face to face	We will never have to worry if our mails will be sent to the right address.	2.0	ADU	3	Transition , Body
2382	Therefore, high school students should learn broadly and prepare future learning at university.	High schools must be responsible for their future with well-planned curriculum	Therefore, high school students should learn broadly and prepare future learning at university.	3.0	ADU	2	Conclusion , Body
4804	For example, students will choose a career that they want including the job with high salary include.	Universities require students to study many subjects or specialize in one subject	For example, students will choose a career that they want including the job with high salary include.	4.0	ADU	3	Transition , Body
2534	To my surprise, one of my roommates noticed my problems and offered to help.	Living with a roommate is better than Living alone	To my surprise, one of my roommates noticed my problems and offered to help.	4.0	ADU	3	Elaboration , Body
3870	For example, my friend Lee made a mistake that he broke my precious gift.	Friendship is more important than mistake by a friend, although mistake is terrible	For example, my friend Lee made a mistake that he broke my precious gift.	2.0	ADU	3	Elaboration , Body
474	These things in turn will make them more confident, independent.	Do married women usually work? Why and why not?	These things in turn will make them more confident, independent.	3.0	ADU	3	Elaboration , Body
2414	This example shows that jobs that are related to technology are in demand in most of the countries.	Opinions regarding world culture	This example shows that jobs that are related to technology are in demand in most of the countries.	3.0	ADU	3	Support , Body
3787	Secondly, the staff soon gets boring with their stable job in such a long time.	Businesses had better not employ the workers for the whole of their life	Secondly, the staff soon gets boring with their stable job in such a long time.	3.0	ADU	2	MainIdea , Body
356	"Young people should go to university or not

Persistent deliberation is happening as to whether it is desirable for the youth to go to university."	Young people should go to university or not	"Young people should go to university or not

Persistent deliberation is happening as to whether it is desirable for the youth to go to university."	0.0	Non-ADU	0	Suggestion , Body
2033	For instance, my brother are studying in an international university with a mixed community include Vietnam, Brazil, Argentina, etc.	Concentrate on the objectives - people attend schools for various reasons	For instance, my brother are studying in an international university with a mixed community include Vietnam, Brazil, Argentina, etc.	3.0	ADU	3	Transition , Body
427	In addition, cooking is one of arts humans create.	Prepared Food	In addition, cooking is one of arts humans create.	4.0	Non-ADU	0	Transition , Body
4239	In this long process of discussion, there must be different opinions sparkling out.	People who can’t accept others’ criticism can’t succeed in group working	In this long process of discussion, there must be different opinions sparkling out.	2.0	Non-ADU	0	Suggestion , Body
4205	It is obvious that there are many programs on TV or movies that are harmful to children in metal and physical health.	Should parents limit their children watching TV to make them do well in school?	It is obvious that there are many programs on TV or movies that are harmful to children in metal and physical health.	3.0	ADU	2	Transition , Body
307	Female candidates also do not care about any restriction posed by the society and the employer.	Gender Equality at university admission	Female candidates also do not care about any restriction posed by the society and the employer.	4.0	ADU	3	Transition , Conclusion
6489	In conclusion, university restriction has both pros and cons.	University education restriction	In conclusion, university restriction has both pros and cons.	5.0	ADU	2	Transition , Conclusion
4280	How teachers can make the subject interesting to students!	How teachers can make the subject interesting to students!	How teachers can make the subject interesting to students!	0.0	Non-ADU	0	Prompt , Introduction
6480	Both sides are to be discussed before a conclusion is reached.	University education restriction	Both sides are to be discussed before a conclusion is reached.	1.0	Non-ADU	0	Conclusion , Introduction
4733	Moreover, people use dancing to entertain themselves.	Dancing plays an important role in a culture.	Moreover, people use dancing to entertain themselves.	5.0	ADU	3	Transition , Conclusion
1893	In contrast, manual harvest prevents severe environmental damages.	Advanced fertilizers and machine for farmers, good or bad?	In contrast, manual harvest prevents severe environmental damages.	4.0	ADU	3	Transition , Body
4792	In my point of view, studying many subjects is better that one because students can study in subjects that they interested in, they can gain knowledge more than one field and they will have more chance to choose their future.	Universities require students to study many subjects or specialize in one subject	In my point of view, studying many subjects is better that one because students can study in subjects that they interested in, they can gain knowledge more than one field and they will have more chance to choose their future.	1.0	ADU	1	Elaboration , Introduction
4901	I don’t want to see the same kind of ending again and again.	Should good people are rewarded and bad people are punished in movies or dramas?	I don’t want to see the same kind of ending again and again.	2.0	ADU	3	Transition , Body
1033	Universities must admit both in equal numbers, depending on their choices.	Should universities accept equal number of males/females or not	Universities must admit both in equal numbers, depending on their choices.	1.0	ADU	1	Suggestion , Introduction
1367	Last century has witnessed the horrors of such weapons.	The nuclear power provide clean and cheap energy	Last century has witnessed the horrors of such weapons.	2.0	ADU	3	Elaboration , Body
5410	If they work just in one organization they cannot earn enough money.	More important to work quickly and risk making mistakes	If they work just in one organization they cannot earn enough money.	3.0	ADU	3	Elaboration , Body
821	This phenomenon has aroused a heated discussion in public.	Advantages and disadvantages of the prevalent of English	This phenomenon has aroused a heated discussion in public.	1.0	Non-ADU	0	Elaboration , Introduction
1283	Besides, people in the poverty-stricken areas are not likely to be equipped with knowledge to preserve the ecosystems.	Economic development vs environment	Besides, people in the poverty-stricken areas are not likely to be equipped with knowledge to preserve the ecosystems.	2.0	ADU	3	Transition , Body
2719	For example, I have a close friend who was in the same department with me in the university.	Attending university classes should be required or optional	For example, I have a close friend who was in the same department with me in the university.	2.0	ADU	3	Support , Body
5184	In my view, it is good for a teenager to do a part time job while he/she is still a student and this is for two reasons.	Part time job for teenage students	In my view, it is good for a teenager to do a part time job while he/she is still a student and this is for two reasons.	1.0	ADU	1	Elaboration , Introduction
1062	According to a recent survey, 89% of people have come to think that, since they have been put in the situation which is filled with competitions and pressures, they have to use a lot of time to work hard, to update themselves, to acquire all kinds of skills and so on.	People will spend less time on cooking food	According to a recent survey, 89% of people have come to think that, since they have been put in the situation which is filled with competitions and pressures, they have to use a lot of time to work hard, to update themselves, to acquire all kinds of skills and so on.	3.0	ADU	3	Elaboration , Body
4075	In China, some residents who live in nearby some toxic factories became sick because these factories release a lot of toxic water and wasters into environment around people.	Your job has more effect on your happiness than your living environment does	In China, some residents who live in nearby some toxic factories became sick because these factories release a lot of toxic water and wasters into environment around people.	4.0	ADU	3	Prompt , Body
1515	Consequently, the world would look monotonous.	should one follow fashion trends rather than a personal style?	Consequently, the world would look monotonous.	4.0	ADU	2	Transition , Body
6131	Finally, life becoming more stressful due to some recent problems such as traffic gam, traffic accidents and others.	Recent medical problems and sedentary lifestyle.	Finally, life becoming more stressful due to some recent problems such as traffic gam, traffic accidents and others.	3.0	ADU	3	Transition , Rebuttal
5011	And then, the transportation in my hometown is no longer difficult for everyone in this community.	One important thing that I want to change about my hometown	And then, the transportation in my hometown is no longer difficult for everyone in this community.	5.0	Non-ADU	0	Elaboration , Conclusion
6172	Technology and its advance, to some degrees, have influenced the educational industry positively.	How to learn children more efficiently	Technology and its advance, to some degrees, have influenced the educational industry positively.	2.0	ADU	3	Elaboration , Body
2237	Besides that, long-distance education provides students the opportunity to access the immense knowledge resources and a variety of teaching approaches.	Distance-learning cannot bring the benefits that traditional colleges offer	Besides that, long-distance education provides students the opportunity to access the immense knowledge resources and a variety of teaching approaches.	3.0	ADU	2	Transition , Body
5022	Additionally, this evaluation from students could improve schools' quality.	Getting opinions from many sources could augment people's performance.	Additionally, this evaluation from students could improve schools' quality.	3.0	ADU	2	Elaboration , Body
2271	"More convincing

There is a hotly debated issue over whether face-to-face communication is better than other kinds of communication, and this topic can also be approached from several different angles due to its complexity."	More convincing	"More convincing

There is a hotly debated issue over whether face-to-face communication is better than other kinds of communication, and this topic can also be approached from several different angles due to its complexity."	0.0	Non-ADU	0	Transition , Introduction
6748	The income of film and music industries produce millions of dollars each year for the Goverment, for instance K-pop and Hollywood, and these industries can not survive without goverment's financial assistance.	Arts and public services are both important to the community and should be invested properly	The income of film and music industries produce millions of dollars each year for the Goverment, for instance K-pop and Hollywood, and these industries can not survive without goverment's financial assistance.	3.0	ADU	3	Transition , Body
3036	Therefore, those people should make the financial investment in their own choice; not the government.	Should the Government Provide Free College?	Therefore, those people should make the financial investment in their own choice; not the government.	3.0	ADU	2	Conclusion , Body
3695	The young adult has to try to create memories with his dad and mom in the early age.	Learning to be independent is essential for young adults	The young adult has to try to create memories with his dad and mom in the early age.	2.0	ADU	3	Prompt , Body
6499	For example, after many years of teaching experience, teacher are able to know how to help children to develop important life skills such as learning personal boundaries, facing future problems and learning important conflict resolution skills.	Teacher is the best option for children's education in some aspects	For example, after many years of teaching experience, teacher are able to know how to help children to develop important life skills such as learning personal boundaries, facing future problems and learning important conflict resolution skills.	3.0	ADU	3	Transition , Body
212	Knowledge is the base of creativity.	Technology inspires children's creativity instead of weakening it	Knowledge is the base of creativity.	3.0	ADU	3	Prompt , Body
3510	University is like a gift presented to those who have gone to great length to attain.	University education restriction	University is like a gift presented to those who have gone to great length to attain.	2.0	ADU	3	Prompt , Body
2693	There is also another obvious advantage of living in a big city considering the chance of receiving better education of our offspring.	A more convenient life in a city	There is also another obvious advantage of living in a big city considering the chance of receiving better education of our offspring.	5.0	ADU	2	Transition , Body
618	Secondly, technical developments improve productivity, which help people to escape from daily chores, and invest more time and energy in studying and living a more meaningful life.	Technology that widen the gap between rich and poor?	Secondly, technical developments improve productivity, which help people to escape from daily chores, and invest more time and energy in studying and living a more meaningful life.	3.0	ADU	2	MainIdea , Body
4959	For example, I read about saving money for my retire is a good plan for my life.	Experiences that have shaped your outlook and the way you live	For example, I read about saving money for my retire is a good plan for my life.	4.0	ADU	3	Elaboration , Body
5680	As an engineering researcher, I will surely be disappointed for failure, and exited for new challenges.	Different types of tasks endow more colors to our life	As an engineering researcher, I will surely be disappointed for failure, and exited for new challenges.	4.0	ADU	3	Elaboration , Body
3091	Thus renewable resources are not as reliable as we think.	Fossil fuels will soon be replaced?	Thus renewable resources are not as reliable as we think.	3.0	ADU	3	Thesis , Body
4082	Everyone agrees that e-mail has been a great way of communication.	E-mail or Voice mail Versus Telephone or face to face	Everyone agrees that e-mail has been a great way of communication.	2.0	ADU	2	Prompt , Body
4394	In this situation, I'll look for a teacher and request for help from him or her.	Sometimes it is good to learn with a teacher and sometimes on my own	In this situation, I'll look for a teacher and request for help from him or her.	2.0	ADU	3	Prompt , Body
1587	As sport has become a common passion which passed over every national border, popular sports events can help reduce international tensions remarkably and promote national prides safely.	Roles of international sports events	As sport has become a common passion which passed over every national border, popular sports events can help reduce international tensions remarkably and promote national prides safely.	1.0	ADU	1	Prompt , Introduction
2723	Secondly, students should not be required to attend classes because they can manage the time spending on classes to do other benefit things if they already understand topic in the class very well.	Attending university classes should be required or optional	Secondly, students should not be required to attend classes because they can manage the time spending on classes to do other benefit things if they already understand topic in the class very well.	3.0	ADU	2	Elaboration , Body
6696	This means that we should convey corresponding policies and knowledge to the public and society, and the government controls many influential media, such as TV stations and newspapers, which can provide plenty of environmental knowledge and related policies to citizens.	The environment problems facing today's world are so great	This means that we should convey corresponding policies and knowledge to the public and society, and the government controls many influential media, such as TV stations and newspapers, which can provide plenty of environmental knowledge and related policies to citizens.	3.0	ADU	2	Suggestion , Body
5356	Gutter press and Tabloid TV are more and more replacing quality papers or documentaries programs.	Famous people are bothered by the media	Gutter press and Tabloid TV are more and more replacing quality papers or documentaries programs.	2.0	ADU	3	Prompt , Body
276	Second, I think watching television programs makes us lazy.	Television is the culprit for destroying communication between friends & family	Second, I think watching television programs makes us lazy.	3.0	ADU	2	Thesis , Body
6030	But for children or adolescents who is not mentally develop, it might be hard for them not to swayed by advertising.	Advertising impact on people's choice of consumption	But for children or adolescents who is not mentally develop, it might be hard for them not to swayed by advertising.	4.0	ADU	3	Elaboration , Conclusion
1276	In order to protect animals, from my perspective, zoos offer a good man-made environment which could prolong the life span of wild animals and cultivate the notion of protecting animals.	Zoos should be banned	In order to protect animals, from my perspective, zoos offer a good man-made environment which could prolong the life span of wild animals and cultivate the notion of protecting animals.	5.0	ADU	1	Elaboration , Conclusion
6392	Firstly, health improvement is the main reason for vegetarian diet to become so popular.	Vegetarianism - why some people are choosing to become vegetarian?	Firstly, health improvement is the main reason for vegetarian diet to become so popular.	2.0	ADU	2	MainIdea , Body
2260	"Every student either male or female should be given equal opportunity
 
In today's context, education is the most significant factor which ultimately determines one's future."	Every student either male or female should be given equal opportunity	"Every student either male or female should be given equal opportunity
 
In today's context, education is the most significant factor which ultimately determines one's future."	0.0	Non-ADU	0	Prompt , Introduction
4199	I could memorize all channels that TV programs was playing, but I could barely memorize any word on the textbook.	Should parents limit their children watching TV to make them do well in school?	I could memorize all channels that TV programs was playing, but I could barely memorize any word on the textbook.	2.0	ADU	3	Rebuttal , Body
1076	For me, I believe parents and educators should attach more importance to traditional games.	Traditional games or modern games in developing children's skills	For me, I believe parents and educators should attach more importance to traditional games.	1.0	ADU	1	Suggestion , Introduction
5878	On the other hand, too much news coverage to famous people seems to have a negative influence on the choice of children of their future professions.	Question about the influence of the media coverage of celebrities	On the other hand, too much news coverage to famous people seems to have a negative influence on the choice of children of their future professions.	3.0	ADU	2	Transition , Body
6125	In earlier times, for instance, even the types of entertainment tools were not in large numbers and all of them required physical presence and as a result they had more outdoor activities.	Recent medical problems and sedentary lifestyle.	In earlier times, for instance, even the types of entertainment tools were not in large numbers and all of them required physical presence and as a result they had more outdoor activities.	2.0	ADU	3	Transition , Body
791	Hence, I agree with the majority, because music is the art which requires special attitude towards it.	Should high school make music lessons compulsory	Hence, I agree with the majority, because music is the art which requires special attitude towards it.	3.0	ADU	3	Thesis , Body
5618	My arguments are listed as follows.	Work for themselves vs work for employer	My arguments are listed as follows.	1.0	Non-ADU	0	Elaboration , Introduction
1856	Besides that, education for these countries normally is not free so only certain group of students can afford it.	Richer nations should help poorer nations in health, education and trade	Besides that, education for these countries normally is not free so only certain group of students can afford it.	3.0	ADU	3	Transition , Body
5283	Many hardworking people have diseases, like the burn-out syndrome, because their bodies cannot hold the pace.	Rush vs Slower Pace	Many hardworking people have diseases, like the burn-out syndrome, because their bodies cannot hold the pace.	2.0	ADU	3	Prompt , Body
3795	Furthermore, the factories and companies will have abundant human sources to ensure the pace of manufacture and also devising lots of unique ideas.	Businesses had better not employ the workers for the whole of their life	Furthermore, the factories and companies will have abundant human sources to ensure the pace of manufacture and also devising lots of unique ideas.	4.0	ADU	3	Transition , Body
368	Although higher education does not guarantee young students' success, the benefits of learning in universities are the vital factor in creating more possibilities for the development of society through advancing academic fulfillment and the young generation who have experiences and challenges.	Young people should go to university or not	Although higher education does not guarantee young students' success, the benefits of learning in universities are the vital factor in creating more possibilities for the development of society through advancing academic fulfillment and the young generation who have experiences and challenges.	4.0	ADU	1	Prompt , Conclusion
2272	Some people tend to believe that communication in person is the best way of expression, while others seem to stand on the opposite position.	More convincing	Some people tend to believe that communication in person is the best way of expression, while others seem to stand on the opposite position.	1.0	Non-ADU	0	Transition , Introduction
5315	According to my opinion, because it is university level of education, students have enough maturity to choose their choice.	Going to classes should be optional for the students	According to my opinion, because it is university level of education, students have enough maturity to choose their choice.	1.0	ADU	2	Elaboration , Introduction
4629	First and foremost, I truly believe that being present at classes provide students with opportunity of communicating with other students that is beneficial for understanding new material by reviewing them throughout the free times in college.	Students should attend to classes or it should be optional?	First and foremost, I truly believe that being present at classes provide students with opportunity of communicating with other students that is beneficial for understanding new material by reviewing them throughout the free times in college.	2.0	ADU	2	Elaboration , Body
5480	"Our useful friends

Pets have always been essential in our society."	Our useful friends	"Our useful friends

Pets have always been essential in our society."	0.0	Non-ADU	0	Prompt , Introduction
4476	Some people believe that having a broad knowledge can give you a higher chance to success, while others think that professional in a specific subject is the key to enroll a success.	Whether it is better to have broad knowledge or not	Some people believe that having a broad knowledge can give you a higher chance to success, while others think that professional in a specific subject is the key to enroll a success.	1.0	Non-ADU	0	Thesis , Introduction
2842	This is an important factor because you also get more space than you would in a dormitory.	Apartments vs dormitories at university	This is an important factor because you also get more space than you would in a dormitory.	2.0	ADU	3	Transition , Body
5584	There are some reasons can support my view.	The part-time job can let students experience the real adult life and know more about it	There are some reasons can support my view.	1.0	Non-ADU	0	Elaboration , Introduction
1096	Entertaining facilities such as cinemas, theaters and sports stadiums are mostly profit-oriented.	Government shouldn't put money on building theaters or sports stadiums	Entertaining facilities such as cinemas, theaters and sports stadiums are mostly profit-oriented.	3.0	ADU	2	Transition , Body
3927	Secondly, when someone wants to prepare a good food alone for some reason, some time ago he/she would need to be a very good cook to prepare that food, but nowadays is very easy to prepare a healthy and tasty food.	Easy preparation of food leads to a better life	Secondly, when someone wants to prepare a good food alone for some reason, some time ago he/she would need to be a very good cook to prepare that food, but nowadays is very easy to prepare a healthy and tasty food.	3.0	ADU	2	Elaboration , Body
5574	Charging drivers one more fee makes no sense and is ridiculous.	Drivers have to pay a fee for driving in Rush Hour	Charging drivers one more fee makes no sense and is ridiculous.	3.0	ADU	2	Prompt , Body
1363	"The nuclear power provide clean and cheap energy

The topic of nuclear technology frequently generates a heated debate with proponents maintaining that nuclear power provides a source of efficient and economical energy while opponents argue that atomic technology is uncontrollable and very dangerous to handle."	The nuclear power provide clean and cheap energy	"The nuclear power provide clean and cheap energy

The topic of nuclear technology frequently generates a heated debate with proponents maintaining that nuclear power provides a source of efficient and economical energy while opponents argue that atomic technology is uncontrollable and very dangerous to handle."	0.0	Non-ADU	0	Rebuttal , Body
444	Therefore, developing countries should not totally depend on the financial support from powerful countries.	Financial aid to develop countries	Therefore, developing countries should not totally depend on the financial support from powerful countries.	3.0	ADU	2	Conclusion , Body
1435	Today's children needs somethings to entertain them, and occupy their leisure time in the best way.	It is better for children to grow up in the countryside than in a big city?	Today's children needs somethings to entertain them, and occupy their leisure time in the best way.	5.0	ADU	1	Elaboration , Conclusion
463	Ads will keep us well informed about new products and services, but we should also bear in mind that advertising cigarettes and alcohol will definitely affect our children in negative way.	Society should ban all forms of the advertising	Ads will keep us well informed about new products and services, but we should also bear in mind that advertising cigarettes and alcohol will definitely affect our children in negative way.	5.0	ADU	2	Transition , Conclusion
1392	Some might even go to the extent of lying that they are on unemployment to make them eligible to get the phones.	Giving mobile phones to the unemployed	Some might even go to the extent of lying that they are on unemployment to make them eligible to get the phones.	4.0	ADU	3	Elaboration , Body
4663	In big cities educational facilities is quite better than small towns with more experienced and profession teachers.	Big city vs small town	In big cities educational facilities is quite better than small towns with more experienced and profession teachers.	3.0	ADU	3	Prompt , Body
325	I believe that more responsibilities should put on private individuals and companies such as paying to clean up air pollution.	Air pollution	I believe that more responsibilities should put on private individuals and companies such as paying to clean up air pollution.	1.0	ADU	1	Suggestion , Introduction
5667	It allows us to achieve more.	Different types of tasks endow more colors to our life	It allows us to achieve more.	2.0	ADU	3	Prompt , Body
174	Last, but not least, financial sustainability of a region mostly depends on how healthy the population is.	Physical exercise	Last, but not least, financial sustainability of a region mostly depends on how healthy the population is.	4.0	ADU	2	Rebuttal , Body
5157	Because people try to type as fast as they are talking, they use a lot of abbreviations and broken language.	Technology designed to make people's lives simpler often make them more complicated	Because people try to type as fast as they are talking, they use a lot of abbreviations and broken language.	3.0	ADU	3	Elaboration , Body
603	In Olympic Beijing 2008, Chinese tried thier best to bring the world a spectacular image about their country.	International sporting occasions help to ease international tensions	In Olympic Beijing 2008, Chinese tried thier best to bring the world a spectacular image about their country.	3.0	ADU	3	Elaboration , Body
5153	However, even though I used it for couple months, I still do not know how to use all the features proficiently.	Technology designed to make people's lives simpler often make them more complicated	However, even though I used it for couple months, I still do not know how to use all the features proficiently.	2.0	ADU	3	Transition , Body
5424	There are those who said that student can attend the university coarse without passing the exam.	It is not necessary for university students to attend classes	There are those who said that student can attend the university coarse without passing the exam.	1.0	Non-ADU	0	Transition , Introduction
782	It is obvious that music has a great power which can positively influence on human being and its psychology.	Should high school make music lessons compulsory	It is obvious that music has a great power which can positively influence on human being and its psychology.	2.0	ADU	3	Prompt , Body
1040	On the other hand, females studying in girl's colleges are too shy to face boys.	Should universities accept equal number of males/females or not	On the other hand, females studying in girl's colleges are too shy to face boys.	3.0	ADU	3	Transition , Body
1588	First and foremost, sports events are good chances for excellent athletes to meet and learn valuable experiences from one another so that they can improve their results, break records and bring victories to their own countries.	Roles of international sports events	First and foremost, sports events are good chances for excellent athletes to meet and learn valuable experiences from one another so that they can improve their results, break records and bring victories to their own countries.	2.0	ADU	2	Elaboration , Body
6759	With the help of advanced methods, many art masterpiece has been well restorated and well preserved.	Modern technology has impacted the traditional cultures in both negative and positive ways	With the help of advanced methods, many art masterpiece has been well restorated and well preserved.	3.0	ADU	3	Prompt , Body
1381	In a positive point of view, when people without jobs have hand phones that have access to the Internet, they will be able to browse the net for more job opportunities.	Giving mobile phones to the unemployed	In a positive point of view, when people without jobs have hand phones that have access to the Internet, they will be able to browse the net for more job opportunities.	2.0	ADU	3	Elaboration , Body
