	Text	Topic	TextSrcInre	Para_No	ADU_Type	labelValue	Features
1330	Nevertheless, some argue that there should be government restrictions in order to limit their opinions.	Artists' freedom to express ideas	Nevertheless, some argue that there should be government restrictions in order to limit their opinions.	1.0	Non-ADU	0	Transition , Introduction
1372	Last but not least, while generating energy from any source be it hydro power or oil there always is some wastage and so is the case with nuclear power.	The nuclear power provide clean and cheap energy	Last but not least, while generating energy from any source be it hydro power or oil there always is some wastage and so is the case with nuclear power.	4.0	ADU	3	Transition , Body
1765	As we all know life saving oxygen is produced by trees after converting harmful carbon dioxide gas.	Human activities are harming the Earth	As we all know life saving oxygen is produced by trees after converting harmful carbon dioxide gas.	2.0	ADU	3	Elaboration , Body
437	Firstly, education is an essential part in development.	Financial aid to develop countries	Firstly, education is an essential part in development.	2.0	ADU	3	MainIdea , Body
6336	Another reason is order to gaining higher education degree as it is required to establish a person's career.	The gender issue for getting education needs	Another reason is order to gaining higher education degree as it is required to establish a person's career.	3.0	Non-ADU	0	MainIdea , Body
3035	People who want to make more money, and live a better life than other people decide to take a college education.	Should the Government Provide Free College?	People who want to make more money, and live a better life than other people decide to take a college education.	3.0	ADU	3	Prompt , Body
1608	First of all, children can learn about the hardship of earning money.	Children engagement in paid work	First of all, children can learn about the hardship of earning money.	2.0	ADU	3	Transition , Body
6011	Nevertheless, a man can only achieve his accomplishment through hard-working, dedication and passion.	A successful person is one who has earned a lot of money	Nevertheless, a man can only achieve his accomplishment through hard-working, dedication and passion.	2.0	ADU	2	Transition , Body
5814	Living on your own is a huge financial commitment.	Young adults preference on how long they should live with their parents before moving out	Living on your own is a huge financial commitment.	2.0	ADU	3	Elaboration , Body
6588	The number of criminality is increase rapidly throughout the world.	Do guns can really increase the level of violence?	The number of criminality is increase rapidly throughout the world.	1.0	Non-ADU	0	Prompt , Introduction
1554	People can sit in front of their televisions and watch whatever they want, from musical concerts to live football match.	The popularity of news media	People can sit in front of their televisions and watch whatever they want, from musical concerts to live football match.	2.0	ADU	3	Elaboration , Body
6573	Nonetheless, its adverse effects need controlling more reasonably.	Negative effects of technological process	Nonetheless, its adverse effects need controlling more reasonably.	4.0	Non-ADU	0	Prompt , Conclusion
1600	However, the hooligans only took a minority of people.	Roles of international sports events	However, the hooligans only took a minority of people.	3.0	ADU	3	Rebuttal , Body
4639	Also, attending to classes makes students more attentive and have them to do their studies on time that this attitude lead them to success.	Students should attend to classes or it should be optional?	Also, attending to classes makes students more attentive and have them to do their studies on time that this attitude lead them to success.	5.0	ADU	2	Elaboration , Conclusion
6479	It is the importance of university that raises a question whether students with best scholastic performance deserve university study or just any young wishful people.	University education restriction	It is the importance of university that raises a question whether students with best scholastic performance deserve university study or just any young wishful people.	1.0	Non-ADU	0	Prompt , Introduction
3095	With these solutions fossil fuels seem more sustainable.	Fossil fuels will soon be replaced?	With these solutions fossil fuels seem more sustainable.	4.0	ADU	3	Prompt , Body
3855	For example my friends and I used to sit together and enjoy watching movies using VHS player at nights.	Television destroys communication among friends and family	For example my friends and I used to sit together and enjoy watching movies using VHS player at nights.	3.0	ADU	3	Elaboration , Body
6663	They are mostly being educated at very early ages by family or schools as to distinguish what is benefit for them.	Celebrities & Their Influences	They are mostly being educated at very early ages by family or schools as to distinguish what is benefit for them.	2.0	ADU	3	Elaboration , Body
429	At the increasing living pace, the majority of people tend to choose microwave as their unique cooker that help them prepare a dish in five minutes.	Prepared Food	At the increasing living pace, the majority of people tend to choose microwave as their unique cooker that help them prepare a dish in five minutes.	4.0	ADU	3	Elaboration , Body
1149	To start with, the fairness between males and females is inevitable in such a developed society.	Nowadays there are more opportunities for women than there were in the past	To start with, the fairness between males and females is inevitable in such a developed society.	2.0	ADU	3	Elaboration , Body
1281	Admittedly, some countries may place economic developments ahead of environmental protection, thus ruining the local environments.	Economic development vs environment	Admittedly, some countries may place economic developments ahead of environmental protection, thus ruining the local environments.	2.0	ADU	3	Transition , Body
6114	Nevertheless, people who are born in well-off families have access to good education, which will have a positive impact on their later life.	Children from poorer families are more successful in the future life.	Nevertheless, people who are born in well-off families have access to good education, which will have a positive impact on their later life.	3.0	ADU	2	Transition , Body
625	Nevertheless, I think it is a limp opposition to the remarkable advantages of technology, and technology is not the root cause of the gap.	Technology that widen the gap between rich and poor?	Nevertheless, I think it is a limp opposition to the remarkable advantages of technology, and technology is not the root cause of the gap.	4.0	ADU	3	Thesis , Body
2699	My arguments for this point are listed follows.	Salary increases and promotions to new positions are not the only ways	My arguments for this point are listed follows.	1.0	Non-ADU	0	Elaboration , Introduction
6610	To add up, when it comes to knowledge and the acquisition of such, classmates are second to none.	Classmates' impacts on children's performance at school	To add up, when it comes to knowledge and the acquisition of such, classmates are second to none.	3.0	ADU	2	Prompt , Body
5427	Firstly, the students are not constantly expert in every part of a subject.	It is not necessary for university students to attend classes	Firstly, the students are not constantly expert in every part of a subject.	2.0	ADU	2	MainIdea , Body
2210	Thus, technologies are vital in students' learning.	Teachers lesson vs other sources	Thus, technologies are vital in students' learning.	2.0	ADU	2	Transition , Body
828	Learning English can foster people's sentiment and nourish their literature and art.	Advantages and disadvantages of the prevalent of English	Learning English can foster people's sentiment and nourish their literature and art.	2.0	ADU	3	Prompt , Body
1617	I recommend that parents should help their children to choose a suitable job which does not affect their children 's study and that the government should have right policies to avoid exploiting children's labour.	Children engagement in paid work	I recommend that parents should help their children to choose a suitable job which does not affect their children 's study and that the government should have right policies to avoid exploiting children's labour.	5.0	Non-ADU	0	Suggestion , Conclusion
4163	They are mainly using public transport and are thus limited in accessing certain areas.	People are now able to overcome long distances in a short amount of time	They are mainly using public transport and are thus limited in accessing certain areas.	4.0	ADU	3	Elaboration , Body
585	Unfortunately, there is an increasing trend of adolescent suicides and suicides among those age 75 and over.	Gun control 	Unfortunately, there is an increasing trend of adolescent suicides and suicides among those age 75 and over.	4.0	ADU	3	Transition , Body
503	For example, rental bicycle system has been introduced in several European countries.	Alternative forms of transport to alleviate traffic congestion	For example, rental bicycle system has been introduced in several European countries.	4.0	ADU	3	Support , Body
457	Thanks to ads we learn about new products, we can compare them and choose what’s the best for us.	Society should ban all forms of the advertising	Thanks to ads we learn about new products, we can compare them and choose what’s the best for us.	3.0	ADU	3	Elaboration , Body
5154	At first, I tried to go through all the instructions but, soon, I gave up because I found out that it is time-consuming and there are too many things to learn.	Technology designed to make people's lives simpler often make them more complicated	At first, I tried to go through all the instructions but, soon, I gave up because I found out that it is time-consuming and there are too many things to learn.	2.0	ADU	3	Transition , Body
576	The accidents cannot be completely avoided although only those who have gun licenses can purchase guns.	Gun control 	The accidents cannot be completely avoided although only those who have gun licenses can purchase guns.	2.0	ADU	3	Prompt , Body
5100	Some are afraid that this will lead to the decline of education quality and suggest them to spend more time on teaching.	Professors should do more research or teach students?	Some are afraid that this will lead to the decline of education quality and suggest them to spend more time on teaching.	1.0	Non-ADU	0	Elaboration , Introduction
4728	Both people who see and dance also have a good time.	Dancing plays an important role in a culture.	Both people who see and dance also have a good time.	4.0	ADU	3	Transition , Body
4775	In my opinion, I agree with the latter because the internet gives daily necessary information, people can gain knowledge and they can explore the world.	The internet provides a lot of valuable information	In my opinion, I agree with the latter because the internet gives daily necessary information, people can gain knowledge and they can explore the world.	1.0	ADU	2	Elaboration , Introduction
4884	Teachers may just give high grades to get higher salary.	Should teachers be paid according to how much their students learn?	Teachers may just give high grades to get higher salary.	4.0	ADU	3	Prompt , Body
4480	First of all, when one knows different region's works, it will help one to get a friend much easier.	Whether it is better to have broad knowledge or not	First of all, when one knows different region's works, it will help one to get a friend much easier.	2.0	ADU	2	Transition , Body
3027	However, I believe that individuals should pay their college tuition because it would cost too much, the college education is a personal's choice, and there are many ways to fund a college education.	Should the Government Provide Free College?	However, I believe that individuals should pay their college tuition because it would cost too much, the college education is a personal's choice, and there are many ways to fund a college education.	1.0	ADU	1	Transition , Introduction
3349	This narrowing of living region is pushing many creatures to the brink of extinction.	Some people believe that the Earth is being harmed by human	This narrowing of living region is pushing many creatures to the brink of extinction.	4.0	ADU	3	Prompt , Body
706	To generate such a vast energy the fundamental resources are falling short.	Government should make more effort to promote alternative sources of energy	To generate such a vast energy the fundamental resources are falling short.	2.0	ADU	3	Prompt , Body
4247	In other words, if you can't take any criticism, not only will you fail in cooperating with other people, but also get defeated in personal works.	People who can’t accept others’ criticism can’t succeed in group working	In other words, if you can't take any criticism, not only will you fail in cooperating with other people, but also get defeated in personal works.	3.0	ADU	3	Transition , Body
2406	Some people think that all the countries in the world cannot have a single culture.	Opinions regarding world culture	Some people think that all the countries in the world cannot have a single culture.	1.0	Non-ADU	0	Thesis , Introduction
6398	It is often said that this view is rather unscientific.	Vegetarianism - why some people are choosing to become vegetarian?	It is often said that this view is rather unscientific.	3.0	Non-ADU	0	Transition , Body
842	Many people keep pets like dogs and cats, trained them as service dogs and snuffing dogs which are very helpful to police force and even to some blind peoples.	Humans should be able to use animals for their own benefit?	Many people keep pets like dogs and cats, trained them as service dogs and snuffing dogs which are very helpful to police force and even to some blind peoples.	2.0	ADU	3	Elaboration , Body
1545	In conclusion, I strongly agree that we should give more priority to health education and preventative measures than to treatment.	Prevention is better than cure	In conclusion, I strongly agree that we should give more priority to health education and preventative measures than to treatment.	4.0	ADU	1	Transition , Conclusion
1992	After classes students and not only the students will get together in building of high school, participate in different competitions.	New high school	After classes students and not only the students will get together in building of high school, participate in different competitions.	3.0	ADU	3	Prompt , Body
2609	Despite all these positive aspects, I think that the popularity of mobile phones to the young generation is a bad development.	Popularity of mobile phones to young people	Despite all these positive aspects, I think that the popularity of mobile phones to the young generation is a bad development.	1.0	ADU	1	Thesis , Introduction
4902	So we can’t always let good people be rewarded in movies or TV programs.	Should good people are rewarded and bad people are punished in movies or dramas?	So we can’t always let good people be rewarded in movies or TV programs.	2.0	ADU	2	Suggestion , Body
5067	Studying in college and university is a great opportunity that all students should have.	Higher education should be available only to good students or not	Studying in college and university is a great opportunity that all students should have.	4.0	ADU	1	Suggestion , Conclusion
1176	Hence whether we should ban all the advertisements or not has aroused much controversy of the public.	Should all the advertisements be banned?	Hence whether we should ban all the advertisements or not has aroused much controversy of the public.	1.0	Non-ADU	0	Suggestion , Introduction
3704	Spending much money may not result in what the parents expect their children to be.	Learning to be independent is essential for young adults	Spending much money may not result in what the parents expect their children to be.	3.0	ADU	3	Prompt , Body
6790	The first reason why education and preventative measures should receive a greater budget is the potential improvements in health system.	A greater proportion of the budget should be allotted to education and prevention issues	The first reason why education and preventative measures should receive a greater budget is the potential improvements in health system.	2.0	ADU	3	Suggestion , Body
2718	Student can also study by themselves in the library and focus on only the topic they do not understand.	Attending university classes should be required or optional	Student can also study by themselves in the library and focus on only the topic they do not understand.	2.0	ADU	3	Elaboration , Body
1586	"Roles of international sports events

Whenever an international sporting occasion like the football World Cup takes place, it attracts millions of people all over the world."	Roles of international sports events	"Roles of international sports events

Whenever an international sporting occasion like the football World Cup takes place, it attracts millions of people all over the world."	0.0	Non-ADU	0	Prompt , Introduction
6338	So, learning from human's history, education provides someone to widen his or her knowledge and experience for facing the real situation of workplace through subject taught in college.	The gender issue for getting education needs	So, learning from human's history, education provides someone to widen his or her knowledge and experience for facing the real situation of workplace through subject taught in college.	3.0	ADU	3	Prompt , Body
3834	The United state and Russia are the important countries that spend large budgets for the research of this subject.	Nowadays, spending budget on space exploration is not reasonable	The United state and Russia are the important countries that spend large budgets for the research of this subject.	1.0	Non-ADU	0	Elaboration , Introduction
6194	In a busy city like Tokyo, students waste a lot of time in travelling.	The option to work or study from home is advantage or disadvantage	In a busy city like Tokyo, students waste a lot of time in travelling.	2.0	ADU	3	Elaboration , Body
2268	For example, Chanda Kochhar, who is the CEO of India's second largest bank called ICICI bank and prominently awarded as the country's most powerful female head in business sector.	Every student either male or female should be given equal opportunity	For example, Chanda Kochhar, who is the CEO of India's second largest bank called ICICI bank and prominently awarded as the country's most powerful female head in business sector.	3.0	ADU	3	Support , Body
1669	To cite an example, the stressful life that an aged teacher goes through will definitely take a toll on him.	Should people be forced to stop working?	To cite an example, the stressful life that an aged teacher goes through will definitely take a toll on him.	3.0	ADU	3	Support , Body
3217	If people use too many private cars, the oil and gasoline nonrenewable will run out quickly.	Public transportation keeps society from the depletion of natural resources	If people use too many private cars, the oil and gasoline nonrenewable will run out quickly.	2.0	ADU	3	Elaboration , Body
3346	Hunting has been a fundamental activity of human for having food.	Some people believe that the Earth is being harmed by human	Hunting has been a fundamental activity of human for having food.	4.0	ADU	3	Prompt , Body
3806	Being a child means that you are new in this world and every single thing around you is there to be discovered by you.	Childhood is the happiest time of a person's life	Being a child means that you are new in this world and every single thing around you is there to be discovered by you.	3.0	ADU	3	Transition , Body
544	It creates the best conditions for students education and can force them to focus on their school work instead of wasting their time to do useless things.	Study at school or get a job?	It creates the best conditions for students education and can force them to focus on their school work instead of wasting their time to do useless things.	2.0	ADU	3	Elaboration , Body
2582	I consider the statement above to be right for several reasons.	Gossip-based information	I consider the statement above to be right for several reasons.	1.0	Non-ADU	0	Transition , Introduction
5054	This issue will be discussed.	Higher education should be available only to good students or not	This issue will be discussed.	1.0	Non-ADU	0	Prompt , Introduction
6067	A very important responsibility of media is to publish information about the current affairs as quickly as possible specially when there is a crisis.	Internet will end the era of newspapers and magazines	A very important responsibility of media is to publish information about the current affairs as quickly as possible specially when there is a crisis.	2.0	ADU	3	Transition , Body
833	Personally, English as an elegant language should be advocated in many fields to expand the global trade and communications.	Advantages and disadvantages of the prevalent of English	Personally, English as an elegant language should be advocated in many fields to expand the global trade and communications.	4.0	ADU	1	Suggestion , Conclusion
6004	To conclude this, I would strongly emphasis and recommend, Government must include the clause of maximum number of working hours in its Labor Law and enforce to all companies for ensuring their employees do not spend extended hours in companies.	Working Extended hours should restricted	To conclude this, I would strongly emphasis and recommend, Government must include the clause of maximum number of working hours in its Labor Law and enforce to all companies for ensuring their employees do not spend extended hours in companies.	4.0	ADU	1	Conclusion , Conclusion
6076	It is very difficult to get this sort of information from past in newspapers and magazines as one has to know before where to look at.	Internet will end the era of newspapers and magazines	It is very difficult to get this sort of information from past in newspapers and magazines as one has to know before where to look at.	3.0	ADU	3	Prompt , Body
1620	Students take a break of year or two, some students travel all around the world during this time, and some choose to take up a job.	Taking a break before starting higher education is a good idea	Students take a break of year or two, some students travel all around the world during this time, and some choose to take up a job.	1.0	Non-ADU	0	Prompt , Introduction
5608	Once, when I was working on presentation with strangers, I sat aside and so prepared more than half of work myself instead of making attempts to get acquainted with unknown people.	Type of temper and advantages of individual work as best arguments in favor of studying alone	Once, when I was working on presentation with strangers, I sat aside and so prepared more than half of work myself instead of making attempts to get acquainted with unknown people.	2.0	ADU	3	Transition , Body
5195	Another reason is that from part time jobs students can earn money, which can help their parents.	Part time job for teenage students	Another reason is that from part time jobs students can earn money, which can help their parents.	3.0	ADU	2	MainIdea , Body
1632	In my view point, I would agree to idea of taking a break before starting higher education.	Taking a break before starting higher education is a good idea	In my view point, I would agree to idea of taking a break before starting higher education.	4.0	ADU	1	Prompt , Conclusion
1406	Not only that, as the employees know that they are under constant surveillance, they will less likely steal from the shops.	Use of CCTV cameras	Not only that, as the employees know that they are under constant surveillance, they will less likely steal from the shops.	2.0	ADU	3	Elaboration , Body
2622	Therefore, I highly discourage the young ones to be overly dependent on mobile phones.	Popularity of mobile phones to young people	Therefore, I highly discourage the young ones to be overly dependent on mobile phones.	4.0	Non-ADU	0	Conclusion , Conclusion
6204	"International tourism leads to both - tension and understanding

I agree with both opinions that international tourism not only causes tension but also leads to understanding between people from different culture, because most people will be trying to understand each other after they have conflict or debates."	International tourism leads to both - tension and understanding	"International tourism leads to both - tension and understanding

I agree with both opinions that international tourism not only causes tension but also leads to understanding between people from different culture, because most people will be trying to understand each other after they have conflict or debates."	0.0	ADU	1	Transition , Body
6368	Not to mention ecotourism, a new kind of environment-friendly service, which gives all environmentalists and nature lovers a hand in raising the awareness of people in protecting their coexistent creatures.	Tourism: good or bad?	Not to mention ecotourism, a new kind of environment-friendly service, which gives all environmentalists and nature lovers a hand in raising the awareness of people in protecting their coexistent creatures.	3.0	ADU	3	Elaboration , Body
5381	Dormitory or apartment?	Dormitory or apartment?	Dormitory or apartment?	0.0	Non-ADU	0	Prompt , Introduction
2510	"Living with a roommate is better than Living alone

Many single people have difficulties deciding whether to live with a roommate or to live alone."	Living with a roommate is better than Living alone	"Living with a roommate is better than Living alone

Many single people have difficulties deciding whether to live with a roommate or to live alone."	0.0	Non-ADU	0	Prompt , Introduction
1215	Looking from another perspective, written words are also vital in order to spread across certain messages.	Is image more powerful than the written word?	Looking from another perspective, written words are also vital in order to spread across certain messages.	3.0	ADU	2	MainIdea , Body
2972	Therefore, stress management recently becomes a more significant issue in our realization.	What is a very important skill a person should learn	Therefore, stress management recently becomes a more significant issue in our realization.	3.0	ADU	2	Conclusion , Body
50	Therefore this proves that international tourism can create negative impacts on the destination countries.	International tourism is now more common than ever before	Therefore this proves that international tourism can create negative impacts on the destination countries.	2.0	ADU	2	Conclusion , Body
5400	Working fast yet risky has a place near the ideal goal mentioned before.	More important to work quickly and risk making mistakes	Working fast yet risky has a place near the ideal goal mentioned before.	1.0	ADU	1	Transition , Introduction
4166	In conclusion, the above stated reasons clearly outweigh the fact that cars cause a lot of pollution because they provide flexibility, which is important in nearly all areas of life.	People are now able to overcome long distances in a short amount of time	In conclusion, the above stated reasons clearly outweigh the fact that cars cause a lot of pollution because they provide flexibility, which is important in nearly all areas of life.	5.0	ADU	2	Transition , Conclusion
4890	Should good people are rewarded and bad people are punished in movies or dramas?	Should good people are rewarded and bad people are punished in movies or dramas?	Should good people are rewarded and bad people are punished in movies or dramas?	0.0	Non-ADU	0	Prompt , Introduction
2778	Interaction has been an advantage for workers at offices.	Computers have made it possible for office workers to do their work	Interaction has been an advantage for workers at offices.	4.0	ADU	2	Prompt , Body
6109	To begin with, children from poorer families are prone to have bad habits such as: crime, thievery and thuggery.	Children from poorer families are more successful in the future life.	To begin with, children from poorer families are prone to have bad habits such as: crime, thievery and thuggery.	2.0	ADU	2	Transition , Body
5933	In conclusion, I agree with that the technology has more optimal effects on people's interaction, because it helps ordinary people to make new friends and to maintain relationships.	Man to man interaction changed	In conclusion, I agree with that the technology has more optimal effects on people's interaction, because it helps ordinary people to make new friends and to maintain relationships.	4.0	ADU	1	Transition , Conclusion
5218	Also, highly qualified foreign language teachers are easily accessible in various schools and colleges.	Which is better- Learning foreign language in home or host country?	Also, highly qualified foreign language teachers are easily accessible in various schools and colleges.	3.0	ADU	3	Transition , Introduction
4121	There are several reasons to support this idea which I would like to mention in this essay.	Communicating via e-mail and voice mail vs Telephone and face-to face	There are several reasons to support this idea which I would like to mention in this essay.	1.0	Non-ADU	0	Transition , Introduction
6007	Each individual visualize success differently.	A successful person is one who has earned a lot of money	Each individual visualize success differently.	1.0	Non-ADU	0	Elaboration , Introduction
2417	In fact, cooks can find many new food recipes easily on the Internet.	Opinions regarding world culture	In fact, cooks can find many new food recipes easily on the Internet.	4.0	ADU	3	Elaboration , Body
4941	"Experiences that have shaped your outlook and the way you live

Many circumstances that I experienced change the way I think."	Experiences that have shaped your outlook and the way you live	"Experiences that have shaped your outlook and the way you live

Many circumstances that I experienced change the way I think."	0.0	ADU	1	Prompt , Introduction
132	Moreover, communication is as well making a good roommate.	Roommates quality and their importance	Moreover, communication is as well making a good roommate.	3.0	ADU	3	Transition , Body
3739	Moreover, parents provide their children the best social skills and knowledge in order to prepare for their children's future life.	Are parents best teachers?	Moreover, parents provide their children the best social skills and knowledge in order to prepare for their children's future life.	1.0	ADU	2	Transition , Introduction
1452	Some believe when a person faces with a failure the best way is to forget that and releases that; however, I completely disagree with this idea.	"The expression ""Never, never give up"" means keep trying and never stop working"	Some believe when a person faces with a failure the best way is to forget that and releases that; however, I completely disagree with this idea.	1.0	Non-ADU	0	Thesis , Introduction
4424	Some people choose to be normal to wait for chances, while some other people prefer to be different from everyone else.	Once you are unique enough, you are already on the way to success	Some people choose to be normal to wait for chances, while some other people prefer to be different from everyone else.	1.0	Non-ADU	0	Transition , Introduction
179	As hence it ends up with financially competitive country.	Physical exercise	As hence it ends up with financially competitive country.	4.0	ADU	3	Transition , Body
620	In the past time, we had to spend a lot of time searching information and waiting for letters of our friends who lived far away from us.	Technology that widen the gap between rich and poor?	In the past time, we had to spend a lot of time searching information and waiting for letters of our friends who lived far away from us.	3.0	ADU	3	Elaboration , Body
5886	Indeed, mobile phones have been widely used for people of all ages, bringing convenience and entertainment into our life.	"Mobile phone; ""Iron man"" / ""Weichat"" - destroy social interactions?"	Indeed, mobile phones have been widely used for people of all ages, bringing convenience and entertainment into our life.	1.0	Non-ADU	0	Prompt , Introduction
3620	First and foremost, we all know that upgrading public transportation will surely aggravate the pollution and accidents.	Government should regard investing in building roads as the most important	First and foremost, we all know that upgrading public transportation will surely aggravate the pollution and accidents.	2.0	ADU	2	Elaboration , Body
4373	It is not for which Ronaldo is more fortune than me.	What's more important: hard work or luck?	It is not for which Ronaldo is more fortune than me.	2.0	ADU	3	Prompt , Body
169	So, if the entire nation, from their school ages begin going for sports and try doing that everyday, eventually it may help to build healthy nation.	Physical exercise	So, if the entire nation, from their school ages begin going for sports and try doing that everyday, eventually it may help to build healthy nation.	2.0	ADU	2	Elaboration , Body
611	Certainly, technologies have also contributed to the great change of our daily lives.	Technology that widen the gap between rich and poor?	Certainly, technologies have also contributed to the great change of our daily lives.	1.0	Non-ADU	0	Transition , Introduction
3492	Let me explain it in detail.	Basic economic class can help the students touch the surface of this field	Let me explain it in detail.	1.0	Non-ADU	0	Suggestion , Introduction
5099	These days, more and more university professors are involved in scientific research.	Professors should do more research or teach students?	These days, more and more university professors are involved in scientific research.	1.0	Non-ADU	0	Prompt , Introduction
239	I am in favor of that idea because of their advantages and the fact we can see today about the use of these new means.	Email and text messaging threats written language	I am in favor of that idea because of their advantages and the fact we can see today about the use of these new means.	1.0	Non-ADU	0	Elaboration , Introduction
5870	"Question about the influence of the media coverage of celebrities

Today, celebrities appear to become a spotlight of the mass media."	Question about the influence of the media coverage of celebrities	"Question about the influence of the media coverage of celebrities

Today, celebrities appear to become a spotlight of the mass media."	0.0	Non-ADU	0	Prompt , Introduction
6710	Without their consent, this could only add to theses innocent people's mental suffering and they may do some extreme actions.	Detailed description of crimes on newspaper and TV can have bad consequences on society	Without their consent, this could only add to theses innocent people's mental suffering and they may do some extreme actions.	4.0	ADU	3	Elaboration , Body
5806	Overall, I believe that the city which I enjoy the most is a combination of history and modernity.	The city which I enjoy the most is a combination of history and modernity	Overall, I believe that the city which I enjoy the most is a combination of history and modernity.	5.0	ADU	2	Prompt , Conclusion
3407	Although he had many commitments at home and work, he somehow managed to complete this degree before he was eligible to apply.	Luck vs hard work	Although he had many commitments at home and work, he somehow managed to complete this degree before he was eligible to apply.	4.0	ADU	3	Elaboration , Body
1488	The 21st century has witnessed the sweeping trends of globalization, which raises people's concerns about whether a single international language should be a necessity or not.	A single international language or not?	The 21st century has witnessed the sweeping trends of globalization, which raises people's concerns about whether a single international language should be a necessity or not.	1.0	Non-ADU	0	Suggestion , Introduction
